iter	F1	Logloss
0	0.6123898293	0.6753590913
1	0.6699784074	0.6590498188
2	0.6753531812	0.6449713841
3	0.6434690827	0.6351641595
4	0.6983540844	0.624512204
5	0.721915838	0.6148214863
6	0.6868441458	0.608343101
7	0.6814342667	0.6012912646
8	0.6785431092	0.5961240732
9	0.6785431092	0.5896004972
10	0.695222889	0.5843262834
11	0.6980920191	0.5799223337
12	0.6898878767	0.576196899
13	0.7017305305	0.5732506482
14	0.7016010214	0.5698475881
15	0.7018269764	0.5668665129
16	0.7017933768	0.5645438292
17	0.7044005987	0.5619898761
18	0.7042659546	0.5593823497
19	0.7093282163	0.5575952013
20	0.7093480424	0.5557768306
21	0.7093032455	0.5541206826
22	0.7094214835	0.5523529468
23	0.7092782765	0.5509636953
24	0.7071453771	0.549788909
25	0.7110057041	0.5485100125
26	0.7136921804	0.548025791
27	0.7181960065	0.545683524
28	0.711055314	0.5443601259
29	0.7103273422	0.543176796
30	0.7103023869	0.5421140764
31	0.7118402375	0.5403504755
32	0.7117921027	0.5394514664
33	0.7190243043	0.5380248523
34	0.7191039416	0.5372236343
35	0.7191039416	0.5362629899
36	0.7190243043	0.5355755895
37	0.7198694771	0.5347972381
38	0.7209196361	0.5342919217
39	0.7242739402	0.5331829093
40	0.7262923008	0.5321680206
41	0.7253246924	0.5314830993
42	0.7262923008	0.5312180936
43	0.726295048	0.5307715751
44	0.7267131871	0.5302787939
45	0.7270213616	0.5297997283
46	0.7269360184	0.5295140943
47	0.7285090775	0.5291571912
48	0.7277605612	0.5287923132
49	0.7278465792	0.528394944
50	0.7278465792	0.5280368509
51	0.7322034065	0.5276280459
52	0.7319856588	0.527282092
53	0.7319856588	0.5269201692
54	0.7326873769	0.5260919916
55	0.7326984178	0.5257103235
56	0.7326385403	0.5254993576
57	0.7338511012	0.5249367717
58	0.7342448145	0.5246604348
59	0.7362970844	0.5241939034
60	0.7378647323	0.5239208213
61	0.7402677935	0.5236349671
62	0.7421464949	0.5232662991
63	0.7421774306	0.5230069403
64	0.7426832133	0.5227199271
65	0.7424341946	0.5224870144
66	0.7438275285	0.5222179328
67	0.745188785	0.5219600157
68	0.7457751057	0.5215370971
69	0.7448485523	0.5213043822
70	0.7448080062	0.521097796
71	0.7447299049	0.5208895903
72	0.7447058689	0.5206795448
73	0.7446828114	0.5202975405
74	0.7434155093	0.5201282497
75	0.7438660624	0.519939385
76	0.7445418145	0.5197558954
77	0.7442370505	0.5195498657
78	0.7443570255	0.5193385792
79	0.7443901003	0.5191285612
80	0.7448852547	0.5189412174
81	0.7445799252	0.5188804298
82	0.7441953107	0.5187691119
83	0.7441953107	0.5185400166
84	0.7441062927	0.5182909768
85	0.7443570255	0.5181687989
86	0.7445964971	0.5178958879
87	0.7449185853	0.5176921144
88	0.7447008398	0.5175004217
89	0.7448519637	0.5173631377
90	0.7443865433	0.5172081038
91	0.7443570255	0.517006152
92	0.74372149	0.5168404932
93	0.7444373289	0.5167004978
94	0.74372149	0.516582892
95	0.74372149	0.5164546041
96	0.7441886069	0.516319182
97	0.7444462217	0.5162109278
98	0.7439628986	0.5160793874
99	0.7446552799	0.515880689
100	0.7445341803	0.5156499478
101	0.7446795046	0.5155121111
102	0.7447037308	0.5153871741
103	0.7446476725	0.5152656957
104	0.7445354885	0.5150664806
105	0.7448173215	0.5149484778
106	0.7451699678	0.5148226579
107	0.7448884501	0.5146526778
108	0.7450823062	0.5144599899
109	0.7450020855	0.5143271381
110	0.7450020855	0.5141910843
111	0.7450020855	0.5140723718
112	0.7452669031	0.5139743957
113	0.7446262111	0.5138159808
114	0.7448992076	0.5136784283
115	0.7453658594	0.5135446419
116	0.7453901237	0.5135044071
