iter	Passed	Remaining
0	7	6350
1	13	5282
2	17	4623
3	21	4190
4	24	3917
5	28	3766
6	32	3665
7	35	3558
8	39	3475
9	43	3415
10	48	3505
11	52	3450
12	56	3408
13	59	3338
14	63	3316
15	67	3298
16	71	3273
17	75	3297
18	80	3299
19	83	3268
20	87	3243
21	92	3275
22	96	3267
23	100	3249
24	104	3233
25	108	3231
26	114	3264
27	118	3264
28	122	3268
29	127	3275
30	132	3280
31	136	3283
32	141	3299
33	146	3300
34	150	3298
35	157	3349
36	162	3346
37	165	3327
38	171	3355
39	176	3355
40	181	3351
41	187	3382
42	192	3381
43	196	3374
44	201	3373
45	206	3387
46	211	3385
47	215	3383
48	220	3375
49	223	3359
50	227	3344
51	231	3329
52	237	3348
53	243	3357
54	247	3356
55	253	3367
56	258	3366
57	262	3362
58	268	3368
59	273	3374
60	278	3369
61	283	3370
62	288	3373
63	292	3361
64	297	3360
65	301	3356
66	305	3342
67	309	3332
68	313	3323
69	317	3310
70	321	3296
71	324	3283
72	328	3274
73	332	3261
74	335	3247
75	339	3233
76	344	3233
77	348	3223
78	351	3212
79	355	3202
80	360	3200
81	364	3193
82	368	3182
83	373	3179
84	377	3177
85	381	3168
86	385	3161
87	392	3172
88	396	3168
89	402	3172
90	407	3174
91	411	3164
92	414	3150
93	421	3163
94	428	3177
95	434	3182
96	443	3210
97	448	3214
98	458	3247
99	462	3238
100	466	3227
101	470	3219
102	474	3208
103	478	3199
104	480	3179
105	484	3174
106	488	3164
107	492	3156
108	496	3150
109	502	3150
110	507	3148
111	511	3145
112	516	3142
113	521	3141
114	525	3131
115	530	3125
116	534	3120
117	538	3112
118	542	3101
119	547	3103
120	551	3094
121	555	3087
122	559	3079
123	565	3080
124	570	3080
125	574	3074
126	580	3076
127	585	3072
128	590	3072
129	597	3080
130	602	3074
131	608	3079
132	612	3070
133	616	3061
134	619	3052
135	624	3049
136	628	3040
137	631	3031
138	635	3022
139	642	3028
140	647	3024
141	651	3020
142	657	3022
143	663	3020
144	668	3017
145	673	3018
146	678	3013
147	683	3009
148	687	3003
149	691	2995
150	695	2989
151	699	2981
152	704	2980
153	708	2972
154	712	2964
155	716	2956
156	720	2949
157	724	2945
158	728	2936
159	732	2928
160	737	2925
161	741	2918
162	744	2910
163	750	2908
164	754	2904
165	759	2901
166	765	2902
167	770	2900
168	775	2895
169	779	2890
170	784	2886
171	789	2881
172	793	2877
173	800	2879
174	806	2879
175	812	2880
176	816	2873
177	819	2865
178	824	2859
179	828	2853
180	832	2846
181	835	2838
182	840	2833
183	844	2826
184	847	2818
185	852	2815
186	858	2814
187	862	2807
188	866	2799
189	869	2792
190	873	2784
191	876	2776
192	880	2769
193	884	2761
194	888	2756
195	892	2750
196	896	2743
197	900	2736
198	905	2733
199	909	2728
200	913	2722
201	917	2715
202	921	2711
203	928	2712
204	933	2709
205	937	2703
206	941	2695
207	944	2688
208	948	2681
209	955	2685
210	959	2679
211	963	2672
212	968	2668
213	973	2664
214	977	2660
215	983	2660
216	987	2653
217	991	2646
218	995	2641
219	999	2635
220	1003	2629
221	1007	2622
222	1011	2618
223	1015	2612
224	1019	2605
225	1023	2598
226	1028	2595
227	1032	2589
228	1036	2583
229	1039	2576
230	1043	2570
231	1047	2565
232	1051	2559
233	1055	2554
234	1059	2548
235	1066	2549
236	1072	2547
237	1077	2544
238	1082	2539
239	1087	2538
240	1093	2536
241	1098	2532
242	1103	2529
243	1109	2527
244	1114	2525
245	1120	2522
246	1124	2518
247	1129	2514
248	1133	2509
249	1139	2505
250	1143	2501
251	1148	2496
252	1155	2498
253	1160	2495
254	1164	2488
255	1168	2483
256	1172	2477
257	1176	2470
258	1179	2464
259	1184	2461
260	1188	2455
261	1192	2449
262	1196	2442
263	1202	2441
264	1206	2436
265	1211	2432
266	1217	2429
267	1220	2423
268	1224	2417
269	1229	2412
270	1233	2406
271	1236	2401
272	1240	2394
273	1244	2388
274	1248	2384
275	1252	2378
276	1256	2372
277	1260	2366
278	1265	2362
279	1269	2356
280	1272	2350
281	1278	2349
282	1283	2344
283	1288	2340
284	1295	2340
285	1298	2334
286	1302	2328
287	1307	2324
288	1311	2318
289	1314	2312
290	1318	2305
291	1323	2303
292	1327	2297
293	1331	2291
294	1335	2285
295	1338	2279
296	1342	2273
297	1346	2267
298	1350	2262
299	1354	2256
300	1358	2252
301	1363	2248
302	1367	2242
303	1373	2240
304	1378	2237
305	1383	2232
306	1389	2231
307	1394	2227
308	1399	2223
309	1403	2218
310	1408	2214
311	1412	2209
312	1418	2206
313	1421	2200
314	1426	2196
315	1431	2192
316	1435	2187
317	1439	2182
318	1443	2176
319	1448	2172
320	1452	2166
321	1455	2161
322	1459	2155
323	1464	2151
324	1469	2148
325	1474	2143
326	1480	2141
327	1484	2136
328	1494	2139
329	1502	2140
330	1510	2140
331	1517	2138
332	1524	2138
333	1530	2136
334	1538	2135
335	1543	2132
336	1549	2129
337	1559	2132
338	1566	2130
339	1579	2137
340	1586	2135
341	1591	2131
342	1595	2126
343	1599	2120
344	1603	2114
345	1609	2111
346	1614	2107
347	1619	2103
348	1624	2099
349	1628	2094
350	1633	2089
351	1639	2087
352	1644	2082
353	1648	2077
354	1655	2074
355	1659	2069
356	1662	2063
357	1668	2059
358	1672	2054
359	1676	2048
360	1679	2042
361	1685	2038
362	1688	2033
363	1692	2027
364	1696	2022
365	1703	2019
366	1707	2014
367	1712	2010
368	1719	2008
369	1723	2003
370	1729	1999
371	1733	1994
372	1738	1990
373	1742	1985
374	1748	1981
375	1753	1977
376	1757	1972
377	1762	1968
378	1766	1962
379	1770	1956
380	1774	1951
381	1778	1946
382	1782	1940
383	1787	1936
384	1791	1931
385	1795	1925
386	1799	1920
387	1802	1914
388	1806	1908
389	1810	1903
390	1814	1897
391	1817	1892
392	1822	1887
393	1827	1882
394	1834	1880
395	1840	1878
396	1846	1874
397	1852	1871
398	1857	1866
399	1861	1861
400	1865	1856
401	1871	1853
402	1875	1847
403	1879	1842
404	1883	1837
405	1887	1831
406	1890	1825
407	1894	1820
408	1898	1814
409	1902	1809
410	1905	1803
411	1909	1798
412	1913	1792
413	1917	1787
414	1921	1782
415	1925	1777
416	1929	1772
417	1934	1767
418	1937	1762
419	1942	1757
420	1945	1751
421	1950	1746
422	1953	1741
423	1959	1737
424	1963	1732
425	1968	1727
426	1971	1722
427	1975	1716
428	1979	1711
429	1983	1706
430	1986	1701
431	1990	1695
432	1994	1690
433	1999	1686
434	2003	1680
435	2006	1675
436	2010	1670
437	2016	1666
438	2021	1661
439	2028	1659
440	2033	1655
441	2038	1651
442	2042	1646
443	2046	1641
444	2050	1635
445	2054	1630
446	2059	1626
447	2062	1620
448	2066	1615
449	2070	1610
450	2075	1606
451	2079	1601
452	2083	1595
453	2087	1590
454	2091	1585
455	2094	1580
456	2098	1574
457	2102	1570
458	2106	1564
459	2109	1559
460	2113	1554
461	2118	1549
462	2122	1545
463	2127	1540
464	2133	1537
465	2138	1532
466	2142	1527
467	2148	1524
468	2152	1519
469	2156	1513
470	2162	1510
471	2167	1506
472	2171	1501
473	2176	1496
474	2182	1493
475	2188	1489
476	2192	1484
477	2196	1479
478	2200	1474
479	2203	1469
480	2207	1464
481	2212	1459
482	2219	1456
483	2224	1452
484	2229	1448
485	2236	1444
486	2241	1440
487	2246	1436
488	2251	1431
489	2256	1427
490	2261	1422
491	2265	1418
492	2271	1414
493	2277	1410
494	2281	1405
495	2284	1400
496	2290	1396
497	2294	1391
498	2297	1386
499	2301	1380
500	2308	1377
501	2312	1372
502	2316	1367
503	2320	1362
504	2324	1358
505	2329	1353
506	2333	1348
507	2337	1343
508	2341	1338
509	2345	1333
510	2351	1330
511	2356	1325
512	2361	1320
513	2366	1316
514	2371	1312
515	2374	1307
516	2378	1302
517	2382	1297
518	2386	1292
519	2390	1287
520	2394	1282
521	2398	1277
522	2402	1272
523	2407	1267
524	2412	1263
525	2416	1258
526	2420	1253
527	2423	1248
528	2428	1244
529	2432	1239
530	2436	1234
531	2440	1229
532	2444	1224
533	2448	1219
534	2453	1215
535	2458	1210
536	2462	1206
537	2466	1201
538	2471	1196
539	2477	1193
540	2481	1188
541	2485	1183
542	2489	1178
543	2493	1173
544	2497	1168
545	2501	1163
546	2504	1158
547	2508	1153
548	2512	1148
549	2516	1143
550	2520	1138
551	2524	1134
552	2528	1129
553	2531	1124
554	2536	1119
555	2540	1114
556	2545	1110
557	2550	1105
558	2556	1101
559	2561	1097
560	2565	1093
561	2570	1088
562	2574	1083
563	2578	1078
564	2582	1074
565	2586	1069
566	2590	1064
567	2593	1059
568	2598	1054
569	2602	1050
570	2605	1045
571	2609	1040
572	2614	1035
573	2617	1030
574	2621	1025
575	2625	1020
576	2629	1016
577	2632	1011
578	2636	1006
579	2640	1001
580	2644	996
581	2648	991
582	2651	987
583	2656	982
584	2661	977
585	2665	973
586	2668	968
587	2672	963
588	2677	959
589	2680	954
590	2684	949
591	2688	944
592	2693	940
593	2697	935
594	2701	930
595	2705	925
596	2709	921
597	2719	918
598	2725	914
599	2730	910
600	2735	905
601	2742	901
602	2745	897
603	2749	892
604	2753	887
605	2757	882
606	2761	877
607	2765	873
608	2771	869
609	2775	864
610	2780	860
611	2786	856
612	2792	851
613	2798	847
614	2802	843
615	2806	838
616	2810	833
617	2815	829
618	2821	824
619	2826	820
620	2831	816
621	2835	811
622	2838	806
623	2844	802
624	2848	797
625	2851	792
626	2855	787
627	2860	783
628	2866	779
629	2870	774
630	2873	769
631	2877	765
632	2882	760
633	2887	756
634	2893	751
635	2898	747
636	2903	743
637	2909	738
638	2915	734
639	2919	729
640	2924	725
641	2928	720
642	2933	716
643	2938	711
644	2944	707
645	2949	703
646	2955	698
647	2961	694
648	2965	690
649	2972	685
650	2976	681
651	2981	676
652	2987	672
653	2991	667
654	2996	663
655	3002	659
656	3005	654
657	3009	649
658	3013	644
659	3017	640
660	3021	635
661	3024	630
662	3030	626
663	3036	621
664	3042	617
665	3050	613
666	3057	609
667	3064	605
668	3071	601
669	3076	596
670	3081	592
671	3084	587
672	3088	582
673	3092	578
674	3096	573
675	3100	568
676	3104	563
677	3107	559
678	3111	554
679	3116	550
680	3120	545
681	3125	540
682	3130	536
683	3134	531
684	3137	526
685	3141	522
686	3146	517
687	3149	512
688	3153	508
689	3159	503
690	3163	499
691	3167	494
692	3170	489
693	3175	485
694	3179	480
695	3183	475
696	3188	471
697	3192	466
698	3196	461
699	3199	457
700	3204	452
701	3207	447
702	3211	443
703	3215	438
704	3219	433
705	3223	429
706	3227	424
707	3232	420
708	3238	415
709	3243	411
710	3252	407
711	3256	402
712	3261	397
713	3267	393
714	3271	388
715	3275	384
716	3279	379
717	3284	375
718	3288	370
719	3292	365
720	3296	361
721	3299	356
722	3303	351
723	3308	347
724	3314	342
725	3319	338
726	3324	333
727	3330	329
728	3335	324
729	3340	320
730	3345	315
731	3351	311
732	3355	306
733	3359	302
734	3363	297
735	3367	292
736	3370	288
737	3376	283
738	3380	279
739	3384	274
740	3388	269
741	3393	265
742	3397	260
743	3400	255
744	3405	251
745	3409	246
746	3412	242
747	3416	237
748	3421	232
749	3425	228
750	3428	223
751	3432	219
752	3437	214
753	3442	210
754	3447	205
755	3454	201
756	3458	196
757	3462	191
758	3466	187
759	3471	182
760	3475	178
761	3479	173
762	3483	168
763	3487	164
764	3490	159
765	3494	155
766	3501	150
767	3506	146
768	3512	141
769	3516	137
770	3521	132
771	3525	127
772	3529	123
773	3533	118
774	3537	114
775	3541	109
776	3544	104
777	3549	100
778	3554	95
779	3558	91
780	3563	86
781	3567	82
782	3571	77
783	3575	72
784	3579	68
785	3583	63
786	3587	59
787	3592	54
788	3598	50
789	3603	45
790	3610	41
791	3614	36
792	3618	31
793	3623	27
794	3627	22
